date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-01-01,22.989876615344883,22.989876615344883,22.989876615344883,22.989876615344883,22.989876615344883,0,0.0,0.0
2018-01-02,22.989876615344883,22.989876615344883,22.989876615344883,22.989876615344883,22.989876615344883,0,0.0,0.0
2018-01-03,23.155779948539365,23.70090140412843,23.155779948539365,23.226883376045862,23.226883376045862,212199,0.0,0.0
2018-01-04,23.463892390087146,23.64164915061811,23.0491266155149,23.226883376045862,23.226883376045862,192525,0.0,0.0
2018-01-05,23.463893944114943,23.558697917657437,23.167632656941773,23.463893944114943,23.463893944114943,120812,0.0,0.0
2018-01-08,23.55869613942309,23.961610736272036,23.30983595368769,23.866806769885443,23.866806769885443,284250,0.0,0.0
2018-01-09,23.866808203465325,23.89051055266212,23.511294664337825,23.700902608499973,23.700902608499973,122877,0.0,0.0
2018-01-10,23.6772004428926,23.6772004428926,23.167630710127654,23.262434675703616,23.262434675703616,102408,0.0,0.0
2018-01-11,23.463894634967733,25.31256584465331,23.297989032560118,24.69634090260115,24.69634090260115,447301,0.0,0.0
2018-01-12,24.885948990552755,25.691780081417747,24.720043387243255,25.359967066563286,25.359967066563286,364636,0.0,0.0
2018-01-15,25.715478389338884,25.92878686665788,25.051852417287634,25.0755547656172,25.0755547656172,131011,0.0,0.0
2018-01-16,25.359965939551945,26.56871161801436,25.24146142581572,26.33170259054191,26.33170259054191,390235,0.0,0.0
2018-01-17,26.54500982858136,28.204072942867697,26.42650532041805,28.204072942867697,28.204072942867697,770193,0.0,0.0
2018-01-18,28.678091457635695,29.246913468029256,27.4930463560805,28.369979007937218,28.369979007937218,642804,0.0,0.0
2018-01-19,28.441082326143302,28.772895314928707,27.73005526798972,28.749194774637317,28.749194774637317,335162,0.0,0.0
2018-01-22,28.89140055009353,28.89140055009353,27.990765530522957,28.275177445867257,28.275177445867257,202318,0.0,0.0
2018-01-23,28.132969036127985,28.583286521135626,27.516745965807917,28.038166877798176,28.038166877798176,258942,0.0,0.0
2018-01-24,27.73005388199026,28.15667081885343,27.06642793758871,27.61154937822107,27.61154937822107,259783,0.0,0.0
2018-01-25,27.493046473791594,27.587850443968975,26.545010388488436,26.545010388488436,26.545010388488436,206717,0.0,0.0
2018-01-26,26.331702082771745,27.635251708733076,26.331702082771745,27.20863655245057,27.20863655245057,125625,0.0,0.0
2018-01-29,27.25603727769663,27.4456452168356,26.687215268515025,27.4456452168356,27.4456452168356,98301,0.0,0.0
2018-01-30,27.4456452168356,27.4456452168356,27.4456452168356,27.4456452168356,27.4456452168356,0,0.0,0.0
2018-01-31,27.019028898855495,28.132970595075566,26.85312330434965,27.493046949712607,27.493046949712607,321184,0.0,0.0
2018-02-01,27.516747855105372,27.82486031553801,26.924225283685207,27.256038285327577,27.256038285327577,114568,0.0,0.0
2018-02-02,27.042728104944356,27.184933151535294,26.710915124075324,26.876822518627478,26.876822518627478,164583,0.0,0.0
2018-02-05,26.30800034197663,26.616112780987574,25.71547781175193,25.95248682384181,25.95248682384181,196752,0.0,0.0
2018-02-06,24.317125456706755,25.502170574560253,24.127519322791404,25.122956498494204,25.122956498494204,562601,0.0,0.0
2018-02-07,26.0472894581326,26.379102419734863,25.644373073245863,26.379102419734863,26.379102419734863,296436,0.0,0.0
2018-02-08,26.782017835201685,27.161231885380506,25.97618684842468,26.307999820419354,26.307999820419354,252099,0.0,0.0
2018-02-09,25.881383363025616,26.284299767991893,25.17035632768716,25.17035632768716,25.17035632768716,364186,0.0,0.0
2018-02-12,25.881383185258628,25.905085532861982,25.194058502407238,25.288860659879674,25.288860659879674,183269,0.0,0.0
2018-02-13,25.52587225234487,26.11839483766611,25.383667193514857,25.85768526177185,25.85768526177185,257193,0.0,0.0
2018-02-14,25.90508750180821,26.379105558139667,25.525871610154738,25.810283528894843,25.810283528894843,282082,0.0,0.0
2018-02-15,26.308002126395795,26.355403208734785,25.810283528894843,25.810283528894843,25.810283528894843,221133,0.0,0.0
2018-02-16,25.952489425017887,26.473908580582517,25.952489425017887,26.26060189491045,26.26060189491045,163430,0.0,0.0
2018-02-19,26.23689709161944,26.284299979297575,25.715477984806867,25.833982491649294,25.833982491649294,62447,0.0,0.0
2018-02-20,25.833982491649294,25.92878645877029,25.33626392455815,25.833982491649294,25.833982491649294,38368,0.0,0.0
2018-02-21,25.739178351313868,26.023590250762876,25.549572226583116,25.95248682384181,25.95248682384181,55321,0.0,0.0
2018-02-22,25.95248747640307,25.999888556718815,25.57327340917118,25.999888556718815,25.999888556718815,112305,0.0,0.0
2018-02-23,25.999888584379864,26.070992013164435,25.431068387044526,25.739179025895282,25.739179025895282,81704,0.0,0.0
2018-02-26,25.99988845955776,26.02359080786236,25.146656359415694,25.33626429644073,25.33626429644073,97067,0.0,0.0
2018-02-27,25.35996720327165,25.502172265194304,24.93335020926822,25.502172265194304,25.502172265194304,86237,0.0,0.0
2018-02-28,25.359967066563286,25.644377188875417,24.57783651785173,25.359967066563286,25.359967066563286,263866,0.0,0.0
2018-03-01,25.075555122014023,25.241460713267184,24.483032570059393,24.83854610123217,24.83854610123217,146953,0.0,0.0
2018-03-02,24.81484560463312,25.31256603201086,24.625239458797495,25.099257535739753,25.099257535739753,126885,0.0,0.0
2018-03-05,25.122956498494204,25.241461010279554,24.767442963138155,25.122956498494204,25.122956498494204,126778,0.0,0.0
2018-03-06,25.122957750534994,25.312565702135092,24.222322692787678,24.554135703970132,24.554135703970132,149552,0.0,0.0
2018-03-07,24.5778348467227,26.02359132684137,23.61794939300847,26.02359132684137,26.02359132684137,341821,0.0,0.0
2018-03-08,26.18949898037621,26.40280747851506,25.64437746382532,25.64437746382532,25.64437746382532,136269,0.0,0.0
2018-03-09,25.64437438483086,26.189495835931687,25.170356360651102,25.95248682384181,25.95248682384181,333051,0.0,0.0
2018-03-12,26.023594060226426,27.232339837179996,25.78658501344198,27.137535856819113,27.137535856819113,299351,0.0,0.0
2018-03-13,27.25603781409318,27.374542326328367,26.734618683552494,27.090132220258056,27.090132220258056,267233,0.0,0.0
2018-03-14,27.090131295915672,27.161232915889514,26.568710374931037,27.161232915889514,27.161232915889514,175902,0.0,0.0
2018-03-15,27.13753240167449,27.161232941688283,26.829419956789312,26.90052338506598,26.90052338506598,249618,0.0,0.0
2018-03-16,26.78201922256143,26.78201922256143,25.383665644869126,25.8813842245263,25.8813842245263,947313,0.0,0.0
2018-03-19,26.16579655888001,26.545010634874,25.596974540771356,25.905086994648855,25.905086994648855,205761,0.0,0.0
2018-03-20,26.142095837786485,26.142095837786485,25.644375445228732,26.02359132684137,26.02359132684137,213151,0.0,0.0
2018-03-21,26.18949805133878,26.829421714819407,25.833984503130562,26.758320090119014,26.758320090119014,268744,0.0,0.0
2018-03-22,26.90052392047712,27.493046473791594,25.739179354333686,26.545010388488436,26.545010388488436,350478,0.0,0.0
2018-03-23,25.905085231148462,26.379103245930793,25.431067216366134,26.307999820419354,26.307999820419354,229845,0.0,0.0
2018-03-26,26.42650502586143,26.42650502586143,25.7391785245283,25.833982491649294,25.833982491649294,141885,0.0,0.0
2018-03-27,26.23689913447238,27.303439779097037,26.18949805133878,26.758320090119014,26.758320090119014,215890,0.0,0.0
2018-03-28,26.30800118322406,26.545010202892747,25.739179174372154,25.8813842245263,25.8813842245263,178170,0.0,0.0
2018-03-29,26.14209826593233,26.308003873371096,25.762882349097136,25.92878976477141,25.92878976477141,141581,0.0,0.0
2018-03-30,25.92878976477141,25.92878976477141,25.92878976477141,25.92878976477141,25.92878976477141,0,0.0,0.0
2018-04-02,25.92878976477141,25.92878976477141,25.92878976477141,25.92878976477141,25.92878976477141,0,0.0,0.0
2018-04-03,25.810283994549334,26.14209700161481,25.52587207067803,25.976189593964364,25.976189593964364,226888,0.0,0.0
2018-04-04,25.999890964686106,26.45020850233286,25.786584275274645,26.426507959979972,26.426507959979972,283473,0.0,0.0
2018-04-05,26.54501088260317,27.682654929437447,26.52131034167649,27.232337418889074,27.232337418889074,407094,0.0,0.0
2018-04-06,27.374540566129937,28.701790656174037,27.374540566129937,28.53588507300674,28.53588507300674,639251,0.0,0.0
2018-04-09,28.441083487880558,29.863137662274582,28.10927048554154,29.22321400709143,29.22321400709143,433609,0.0,0.0
2018-04-10,29.31801627439174,29.62612873654598,28.535887560688167,29.62612873654598,29.62612873654598,264411,0.0,0.0
2018-04-11,29.62612766323231,30.194949676013437,28.98620402900062,29.55502423354642,29.55502423354642,293666,0.0,0.0
2018-04-12,29.436518169878195,30.052743039350826,29.057304117442506,29.318013665477338,29.318013665477338,257170,0.0,0.0
2018-04-13,29.389119217086485,29.815736187080272,28.93880170614534,28.93880170614534,28.93880170614534,121863,0.0,0.0
2018-04-16,28.938801631866564,29.2706146289839,28.109270043190907,28.275177445867257,28.275177445867257,255336,0.0,0.0
2018-04-17,28.204072593858953,28.654390080954176,27.777455646456055,28.441081607252727,28.441081607252727,205824,0.0,0.0
2018-04-18,28.441084850566295,28.986206366829673,28.39368376577621,28.796598411198374,28.796598411198374,166508,0.0,0.0
2018-04-19,28.796596725324612,28.915101238597554,28.36997975424788,28.417382644498275,28.417382644498275,127953,0.0,0.0
